USER,Reference Numbers,,Stage,Cartons,Tracking Numbers / Warehouse Location / Machine / Other Reference,Added Time,Referrer Name,Task Owner
,Prefix,Ref Number,,,,,,
TARIQ,VPOD,820935,Shipped,1,9.622E+33,2/10/26 16:46,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,VPOD,281775,Shipped,1,9.622E+33,2/10/26 16:09,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
YOLI,VPOD,281775,Move to Shipping,1,,2/10/26 15:29,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,VPOD,289995,Shipped,2,"1001910551510001002200487403198531
1002866851510001002200487403198542",2/10/26 15:29,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
YOLI,VPOD,280935,Move to Shipping,1,,2/10/26 15:29,,dmelendez@royalthreads.com
TARIQ,VPOD,286269,Shipped,1,9.62204E+33,2/10/26 15:01,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,VPOD,292153,Product Received,1,1ZE678081352971414,2/10/26 14:23,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,VPOD,283548,Paperwork Received,,,2/10/26 14:20,,dmelendez@royalthreads.com
KARA,WSOD,282044,Paperwork Received,,,,,
KARA,VPOD,283547,Paperwork Received,,,,,
TARIQ,VPOD,289340,Shipped,1,9.622E+33,2/10/26 13:30,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
TARIQ,VPOD,281387,Shipped,1,9.622E+33,2/10/26 13:26,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
YOLI,VPOD,54678,Mary's Office / Window,1,,2/10/26 12:20,,dmelendez@royalthreads.com
YOLI,VPOD,289340,Mary's Office / Window,1,,2/10/26 11:38,,dmelendez@royalthreads.com
COREY,VPOD,293503,Product Received,1,9.622E+33,2/10/26 10:13,,dmelendez@royalthreads.com
PAUL,VPOD,293664,Move to Machines,,Machine 5,2/10/26 9:41,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
PAUL,VPOD,289340,Move to Machines,,Machine 10,2/10/26 9:30,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
PAUL,VPOD,281387,Move to Machines,,Machine 04,2/10/26 9:27,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
TARIQ,VPOD,290544,Shipped,5,"9622001900002134169100429922260445
9622001900002134169100429922260456
9622001900002134169100429922260467
9622001900002134169100429922260489
9622001900002134169100429922260478",2/9/26 16:40,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,VPOD,279632,Shipped,11,"9622001900002134169100487403198406
9622001900002134169100487403198417
9622001900002134169100487403198428
9622001900002134169100487403198439
9622001900002134169100487403198440
9622001900002134169100487403198450
9622001900002134169100487403198461
9622001900002134169100487403198472
9622001900002134169100487403198483
9622001900002134169100487403198494
9622001900002134169100487403198509",2/9/26 16:37,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
YOLI,VPOD,286629,Carrie's Office - Exception,1,,2/9/26 16:01,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
TARIQ,VPOD,289778,Shipped,1,9.622E+33,2/9/26 15:36,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
YOLI,VPOD,289778,Mary's Office / Window,1,,2/9/26 14:36,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
YOLI,VPOD,292714,Carrie's Office - Exception,4,Missing dos piezas defectos,2/9/26 13:55,,dmelendez@royalthreads.com
KARA,VPOD,293664,Paperwork Received,,,2/9/26 13:30,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,WSOD,287909,Paperwork Received,,,,,
KARA,VPOD,293321,Paperwork Received,,,,,
COREY,VPOD,292883,Product Received,1,9.622E+33,2/9/26 13:25,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,293042,Product Received,1,9.622E+33,2/9/26 13:24,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,290863,Product Received,1,1.97889E+16,2/9/26 13:23,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,290936,Product Received,1,1.97889E+16,2/9/26 13:20,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,293154,Product Received,1,9.622E+33,2/9/26 13:20,,dmelendez@royalthreads.com
COREY,VPOD,293441,Product Received,1,9.622E+33,2/9/26 13:00,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,WSOD,24337,Product Received,13,,2/9/26 12:58,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,WSOD,24249,Product Received,25,FREIGHT ORDER NO PAPER,2/9/26 12:57,,dmelendez@royalthreads.com
ASTRID,VPOD,292154,Carrie's Office - Exception,,"Faltan 1 de cada estilo sufrayado 
1M
1S",2/9/26 11:43,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
TARIQ,VPOD,279632,Shipped,1,9.622E+33,2/9/26 10:29,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,VPOD,293501,Paperwork Received,,,2/9/26 9:29,,dmelendez@royalthreads.com
KARA,PKSO,55439,Paperwork Received,,,,,
KARA,VPOD,291858,Paperwork Received,,,,,
YOLI,VPOD,287987,Move to Shipping,2,,2/9/26 8:16,,dmelendez@royalthreads.com
PAUL,VPOD,287987,Move to Machines,,Mac,2/6/26 13:48,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
TARIQ,VPOD,291678,Shipped,4,"9622001900002134169100429922260217
9622001900002134169100429922260228
9622001900002134169100429922260239
9622001900002134169100429922260240",2/6/26 13:36,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,292153,Product Received,5,"1ZE678080352927964
1ZE678080352927955
1ZE678080352929471
1ZE678080352928034
1ZE678080352927973",2/6/26 13:06,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,293321,Product Received,1,1ZA248890306941128,2/6/26 13:03,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,292714,Product Received,1,1Z5Y895Y1265487735,2/6/26 13:02,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,VPOD,293462,Paperwork Received,,,2/6/26 12:25,,dmelendez@royalthreads.com
KARA,WSOD,287651,Paperwork Received,,,,,
KARA,VPOD,293461,Paperwork Received,,,,,
COREY,VPOD,292352,Product Received,1,9.632E+33,2/6/26 12:22,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,292718,Product Received,1,9.623E+33,2/6/26 12:22,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,290980,Product Received,2,"9622001900005019487000489544243842
9622001900005019487000489544243831",2/6/26 12:21,,dmelendez@royalthreads.com
YOLI,VPOD,291678,Move to Shipping,4,,2/6/26 12:08,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,VPOD,292702,Shipped,1,9.622E+33,2/6/26 9:56,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,VPOD,295384,Shipped,1,9.622E+33,2/6/26 9:05,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
YOLI,VPOD,6292702,Mary's Office / Window,1,,2/6/26 7:46,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
YOLI,VPOD,292702,Mary's Office / Window,1,,2/6/26 7:45,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
YOLI,VPOD,292825,Move to Shipping,2,,2/6/26 7:44,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
YOLI,VPOD,292384,Move to Shipping,1,,2/6/26 7:40,,dmelendez@royalthreads.com
HOUZE,VPOD,286670,Shipped,2,"9622001900002134169100487403198200
9622001900002134169100487403198211",2/5/26 17:53,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
YOLI,VPOD,286670,Mary's Office / Window,2,,2/5/26 16:57,,dmelendez@royalthreads.com
HOUZE,VPOD,285824,Shipped,1,9.622E+33,2/5/26 16:56,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,VPOD,291763,Shipped,1,9.622E+33,2/5/26 16:49,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,VPOD,292825,Move to Trim,,,2/5/26 16:44,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,VPOD,291735,Shipped,2,"9622001900002134169100487403198082
9622001900002134169100487403198093",2/5/26 16:42,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,VPOD,285705,Shipped,4,"9622001900002134169100487403198049
9622001900002134169100487403198050
9622001900002134169100487403198060
9622001900002134169100487403198071",2/5/26 16:23,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,VPOD,292928,Shipped,1,9.622E+33,2/5/26 15:48,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,VPOD,285921,Shipped,1,1.28941E+33,2/5/26 15:44,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,VPOD,292447,Shipped,2,"1001910550760002821200487403198005
1002866850760002821200487403198016",2/5/26 15:26,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
YOLI,VPOD,292928,Move to Shipping,1,,2/5/26 15:23,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
YOLI,VPOD,292447,Move to Shipping,2,,2/5/26 15:17,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
HOUZE,VPOD,293119,Shipped,1,9.622E+33,2/5/26 15:16,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,VPOD,292447,Move to Trim,,,2/5/26 14:57,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
YOLI,VPOD,293119,Move to Shipping,1,,2/5/26 14:38,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
YOLI,VPOD,293118,Move to Shipping,,,2/5/26 14:38,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
ASTRID,VPOD,292928,Move to Trim,,,2/5/26 14:23,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
KARA,VPOD,292384,Product Received,1,4.90837E+11,2/5/26 14:14,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,292824,Product Received,1,1ZA248890352841748,2/5/26 13:49,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,292384,Product Received,1,1ZA215E50218215525,2/5/26 13:48,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,292714,Product Received,8,"1ZE9W0610371960857
1ZK5819J0300421708
1ZK5819J0300421717
1ZK5819J0300421735
1ZE9W0610371960857
1ZK5819J0300421744
1ZK5819J0300421726
1ZA248890352836263
1Z77V3120354990321",2/5/26 13:48,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
YOLI,VPOD,285825,Mary's Office / Window,1,,2/5/26 13:47,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,292701,Product Received,1,1ZK5819J0300421575,2/5/26 13:46,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
COREY,VPOD,291858,Product Received,5,"1074200750330002831500888343363210
1074200750330002831500888343363221
1074200750330002831500888343363200
1074200750330002831500888343363232
1072396150330002831500888343363195",2/5/26 13:45,,dmelendez@royalthreads.com
PAUL,VPOD,293119,Move to Machines,,Machine 8,2/5/26 12:42,https://forms.zohopublic.com/dmelendez/form/PKTracker/thankyou/formperma/lmbJfw6jSDslzih_IFP8K3A7hUddiCB4aT7nugtBbWw,dmelendez@royalthreads.com
