order_key,prefix,ref_number,paperwork_received,product_received,users_seen,stages_seen,latest_added_time,rows_for_order
VPOD-286719,VPOD,286719,yes,yes,COREY; DMEL; KARA,Mary's Office / Window; Paperwork Received; Product Received,1/24/26 15:02,3
VPOD-287986,VPOD,287986,yes,yes,COREY; KARA,Paperwork Received; Product Received,2/3/26 11:09,2
VPOD-288589,VPOD,288589,yes,yes,COREY; KARA,Paperwork Received; Product Received,2/4/26 11:23,2
VPOD-289060,VPOD,289060,yes,yes,COREY; KARA; TARIQ; YOLI,Move to Shipping; Paperwork Received; Product Received; Shipped,1/28/26 8:28,4
VPOD-290543,VPOD,290543,yes,yes,COREY; KARA,Paperwork Received; Product Received,1/27/26 11:30,2
VPOD-290569,VPOD,290569,yes,yes,HOUZE; KARA,Paperwork Received; Product Received; Shipped,1/28/26 8:12,3
VPOD-290863,VPOD,290863,yes,yes,COREY; KARA,Paperwork Received; Product Received,2/9/26 13:23,2
VPOD-290878,VPOD,290878,yes,yes,COREY; KARA,Paperwork Received; Product Received,1/28/26 15:10,3
VPOD-290879,VPOD,290879,yes,yes,ASTRID; COREY; KARA; TARIQ; YOLI,Mary's Office / Window; Move to Machines; Paperwork Received; Product Received; Shipped,1/26/26 13:35,6
VPOD-291306,VPOD,291306,yes,yes,COREY; KARA,Paperwork Received; Product Received,1/29/26 11:38,2
VPOD-291307,VPOD,291307,yes,yes,COREY; HOUZE; KARA; YOLI,Move to Shipping; Paperwork Received; Product Received; Shipped,1/26/26 12:19,4
VPOD-291589,VPOD,291589,yes,yes,COREY; KARA,Paperwork Received; Product Received,1/29/26 11:36,2
VPOD-291590,VPOD,291590,yes,yes,COREY; HOUZE; KARA; YOLI,Move to Shipping; Paperwork Received; Product Received; Shipped,1/28/26 9:14,5
VPOD-291678,VPOD,291678,yes,yes,COREY; KARA; TARIQ; YOLI,Move to Shipping; Paperwork Received; Product Received; Shipped,1/27/26 12:24,4
VPOD-291858,VPOD,291858,yes,yes,COREY; KARA,Paperwork Received; Product Received,2/5/26 13:45,2
VPOD-291885,VPOD,291885,yes,yes,COREY; HOUZE; KARA; YOLI,Mary's Office / Window; Paperwork Received; Product Received; Special Handling in Process,1/30/26 11:32,4
VPOD-292153,VPOD,292153,yes,yes,COREY; KARA,Paperwork Received; Product Received,2/6/26 13:06,3
VPOD-292701,VPOD,292701,yes,yes,COREY; KARA,Paperwork Received; Product Received,2/5/26 13:46,2
VPOD-292714,VPOD,292714,yes,yes,COREY; KARA; YOLI,Carrie's Office - Exception; Paperwork Received; Product Received,2/3/26 10:44,4
VPOD-292718,VPOD,292718,yes,yes,COREY; KARA,Paperwork Received; Product Received,2/6/26 12:22,2
VPOD-293118,VPOD,293118,yes,yes,KARA; PAUL; YOLI,Move to Machines; Move to Shipping; Paperwork Received; Product Received,2/5/26 12:07,4
VPOD-293321,VPOD,293321,yes,yes,COREY; KARA,Paperwork Received; Product Received,2/6/26 13:03,2
