order_key,prefix,ref_number,paperwork_received,product_received,users_seen,stages_seen,latest_added_time,rows_for_order
PKSO-55139,PKSO,55139,yes,no,KARA,Paperwork Received,,1
PKSO-55141,PKSO,55141,yes,no,KARA,Paperwork Received,,1
PKSO-55142,PKSO,55142,yes,no,KARA,Paperwork Received,,1
PKSO-55145,PKSO,55145,yes,no,KARA,Paperwork Received,,1
PKSO-55148,PKSO,55148,yes,no,KARA,Paperwork Received,,1
PKSO-55151,PKSO,55151,yes,no,KARA,Paperwork Received,,1
PKSO-55154,PKSO,55154,yes,no,KARA,Paperwork Received,,1
PKSO-55155,PKSO,55155,yes,no,KARA,Paperwork Received,,1
PKSO-55157,PKSO,55157,yes,no,KARA,Paperwork Received,,1
PKSO-55160,PKSO,55160,yes,no,KARA,Paperwork Received,,1
PKSO-55161,PKSO,55161,yes,no,KARA,Paperwork Received,,1
PKSO-55162,PKSO,55162,yes,no,KARA,Paperwork Received,,1
PKSO-55164,PKSO,55164,yes,no,KARA,Paperwork Received,,1
PKSO-55324,PKSO,55324,yes,no,KARA,Paperwork Received,,1
PKSO-55439,PKSO,55439,yes,no,KARA,Paperwork Received,,1
PKSO-55507,PKSO,55507,yes,no,KARA,Paperwork Received,,1
PKSO-55526,PKSO,55526,yes,no,KARA,Paperwork Received,,1
PKSO-55544,PKSO,55544,yes,no,KARA,Paperwork Received,,1
PKSO-55552,PKSO,55552,yes,no,KARA,Paperwork Received,,1
VPOD-1827930,VPOD,1827930,no,yes,COREY,Product Received,1/29/26 11:42,1
VPOD-269626,VPOD,269626,yes,no,KARA,Paperwork Received,1/28/26 8:14,1
VPOD-278887,VPOD,278887,no,yes,COREY,Product Received,1/24/26 14:57,1
VPOD-279837,VPOD,279837,no,yes,COREY,Product Received,1/24/26 14:58,1
VPOD-280228,VPOD,280228,no,yes,COREY,Product Received,1/24/26 14:25,1
VPOD-280609,VPOD,280609,no,yes,COREY,Product Received,1/24/26 14:25,1
VPOD-280879,VPOD,280879,no,yes,COREY,Product Received,1/29/26 11:42,1
VPOD-281387,VPOD,281387,no,yes,COREY; PAUL; TARIQ,Move to Machines; Product Received; Shipped,1/24/26 14:26,3
VPOD-281775,VPOD,281775,no,yes,COREY; HOUZE; PAUL; YOLI,Move to Machines; Move to Shipping; Product Received; Shipped,2/3/26 11:10,4
VPOD-281865,VPOD,281865,no,yes,COREY,Product Received,1/24/26 14:54,1
VPOD-281869,VPOD,281869,no,yes,COREY,Product Received,1/24/26 14:51,1
VPOD-282706,VPOD,282706,no,yes,COREY,Product Received,1/24/26 14:55,1
VPOD-283547,VPOD,283547,yes,no,KARA,Paperwork Received,,1
VPOD-283548,VPOD,283548,yes,no,KARA,Paperwork Received,2/10/26 14:20,1
